route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
B,28565073,"Grenoble, Oxford",12345-MGELV34_ST0_34_ET2024,1,SEM_B_2,0,0
A,28522619,"Fontaine, La Poya",12345-MEELVE32_ST0_32_ET2024,1,SEM_A_4,0,0
A,28521774,"Le Pont-de-Claix, L'Etoile",1234567-MEHS29_ST5_29_ET2024,0,SEM_A_3,0,0
E,29050176,"Fontanil-Cornillon, Palluel",12345-MGELV30_ST0_30_ET2024,1,SEM_E_1,0,0
84,29041266,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,0,,0,0
B,28565075,"Grenoble, Oxford",12345-MGELV34_ST0_34_ET2024,1,SEM_B_2,0,0
A,28522642,"Le Pont-de-Claix, L'Etoile",12345-MEELVE32_ST0_32_ET2024,0,SEM_A_3,0,0
22,28441682,"Saint-Égrève, Saint Egrève Gare",1234567-MSESAH28_ST5_28_ET2024,0,SEM_22_3,0,0
B,28564894,"Grenoble, Oxford",12345-MGELV34_ST0_34_ET2024,1,SEM_B_2,0,0
2,29133100,"Grenoble, Louise Michel",1234567-MEHD29_ST6_29_ET2024,1,SEM_C2_1,0,0
3,29146901,"Grenoble, Victor Hugo",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,0,SEM_C3_1,0,0
82,29047215,"Gières, Gières Gare - Universités",1234567-MGED27_ST6_27_ET2024,0,,0,0
B,29042403,"La Tronche, Grand Sablon",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,0,SEM_B_1,0,0
B,29047475,"Grenoble, Oxford",1234567-MGED27_ST6_27_ET2024,1,,0,0
82,29041965,"La Tronche, Grand Sablon",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,,0,0
25,28824358,"Le Gua, Les Saillants",12345-MAHLV29_ST0_29_ET2024,0,SEM_25_1,0,0
A,28522590,"Le Pont-de-Claix, L'Etoile",12345-MEELVE32_ST0_32_ET2024,0,SEM_A_3,0,0
3,29147118,"Échirolles, Centre du graphisme",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,1,SEM_C3_2,0,0
83,29111590,"Seyssins, Le Prisme",12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,1,,0,0
82,28642011,"La Tronche, Grand Sablon",12345-MGELV30_ST0_30_ET2024,1,,0,0
82,29047111,"La Tronche, Grand Sablon",1234567-MGED27_ST6_27_ET2024,1,,0,0
6,28179510,"Saint-Martin-d'Hères, Henri Wallon",12345-MSELVE30_ST0_30_ET2024,1,SEM_C6_1,0,0
44,28869351,"Le Gua, Les Saillants",1234567-MFES28_ST5_28_ET2024,0,SEM_44_7,0,0
E,29050251,"Fontanil-Cornillon, Palluel",12345-MGELV30_ST0_30_ET2024,1,SEM_E_1,0,0
16,28463786,"Corenc, Montfleury",12345-MSELVE30_ST0_30_ET2024,0,SEM_16_1,0,0
83,29046762,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGED27_ST6_27_ET2024,0,,0,0
2,29132478,"Grenoble, Louise Michel",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,1,SEM_C2_1,0,0
3,29147394,"Grenoble, Victor Hugo",1234567-MEHD29_ST6_29_ET2024,0,SEM_C3_1,0,0
19,28467397,"Seyssins, Garlettes",12345-MSELVE30_ST0_30_ET2024,0,SEM_19_1,0,0
19,28441277,"Seyssins, Garlettes",1234567-MSESAH28_ST5_28_ET2024,0,SEM_19_1,0,0
A,28522706,"Le Pont-de-Claix, L'Etoile",12345-MEELVE32_ST0_32_ET2024,0,SEM_A_3,0,0
E,29050297,"Grenoble, Louise Michel",12345-MGELV30_ST0_30_ET2024,0,SEM_E_2,0,0
4,29148198,"Grenoble, Victor Hugo",1234567-MEHS29_ST5_29_ET2024,1,SEM_C4_2,0,0
82,29047175,"La Tronche, Grand Sablon",1234567-MGED27_ST6_27_ET2024,1,,0,0
7,28443823,"Échirolles, Comboire",1234567-MSESAH28_ST5_28_ET2024,1,SEM_C7_2,0,0
2,29132756,"Claix, Pont Rouge",1234567-MEHS29_ST5_29_ET2024,0,SEM_C2_2,0,0
E,29050153,"Grenoble, Louise Michel",12345-MGELV30_ST0_30_ET2024,0,SEM_E_2,0,0
B,29047485,"La Tronche, Grand Sablon",1234567-MGED27_ST6_27_ET2024,0,SEM_B_1,0,0
21,29006427,"Claix, Pont Rouge",1234567-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,0,SEM_21_1,0,0
83,29111519,"Seyssins, Le Prisme",12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,1,,0,0
12,28491058,"Eybens, Maisons Neuves",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,0,,0,0
5,28607108,"Grenoble, Palais de Justice - Gare",1234567-MSHDF28_ST6_28_ET2024,0,,0,0
83,29041464,"Seyssins, Le Prisme",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,,0,0
5,28470027,"Grenoble, Palais de Justice - Gare",12345-MSELVE30_ST0_30_ET2024,0,,0,0
20,28441405,"Seyssinet-Pariset, Seyssinet-Pariset Hôtel de Ville",1234567-MSESAH28_ST5_28_ET2024,0,SEM_20_1,0,0
E,29042824,"Fontanil-Cornillon, Palluel",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,SEM_E_1,0,0
A,28521452,"Le Pont-de-Claix, L'Etoile",1234567-MEHD29_ST6_29_ET2024,0,SEM_A_3,0,0
15,28980680,"Grenoble, Verdun - Préfecture",12345-MAHLV29_ST0_29_ET2024,1,SEM_15_11,0,0
82,28642059,"Gières, Gières Gare - Universités",12345-MGELV30_ST0_30_ET2024,0,,0,0
84,28665079,"Saint-Martin-d'Hères, Etienne Grappe",123456*-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,1,,0,0
44,28869342,"Miribel-Lanchâtre, Le Vernay",1234567-MFES28_ST5_28_ET2024,1,SEM_44_4,0,0
